NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
IRBESARTANA + HIDROCLOROTIAZIDA;IRBESARTANA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS;RANBAXY FARMACEUTICA LTDA
LACOSAMIDA;lacosamida;ANTICONVULSIVANTES;LABORATORIO GLOBO SA
ATROVENT;BROMETO DE IPRATROPIO;BRONCODILATADORES;BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.
DUZOR;DIPIRONA;ANALGESICOS NAO NARCOTICOS;PRATI DONADUZZI & CIA LTDA
NAVELBINE;tartarato de vinorelbina;ANTINEOPLASICOS CITOTOXICOS;BLANVER FARMOQUIMICA E FARMACEUTICA S.A.
ROSUVASTATINA CALCICA;ROSUVASTATINA CALCICA;ANTILIPEMICOS;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
UNI-Z COMPRIMIDO;sulfato de zinco monoidratado;ANTIDIARREICOS SIMPLES SEM ACAO ANTIMICROBIANA;MYRALIS INDUSTRIA FARMACEUTICA LTDA
AKYNZEO;netupitanto, CLORIDRATO DE PALONOSETRONA;ANTIEMATICOS E ANTINAUSEANTES;UNITED MEDICAL LTDA
DECHIMIA;DECITABINA;ANTINEOPLASICOS CITOTOXICOS;CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA
PREZISTA;ETANOLATO DE DARUNAVIR, DARUNAVIR;ANTIRETROVIRAL;JANSSEN-CILAG FARMACEUTICA LTDA
VAGI C;ACIDO ASCORBICO;MONOVITAMINAS EXCETO VITAMINA K;MARJAN INDUSTRIA E COMERCIO LTDA
ZOTY;trometamol cetorolaco;ANTINFLAMATORIOS;BLAU FARMACEUTICA S.A.
HIDROXIMED;;;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA
TESTE;;;EMPRESA DE TESTE LTDA. (VS01)
CIFLOXATIL;cloridrato de ciprofloxacino monoidratado;ANTIBIOTICOS SISTEMICOS SIMPLES;GALLIA INDUSTRIA FARMACEUTICA LTDA
CLORIDRATO DE CLOMIPRAMINA;CLORIDRATO DE CLOMIPRAMINA;ANTIDEPRESSIVOS;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
PETAMIG;PETASITES HYBRIDUS (L.) P. GAERTN., B. MEY. & SCHERB.;OUTRAS PREPARACOES ANTIENXAQUECA;HERBARIUM LABORATORIO BOTANICO LTDA
CARVEDILOL;CARVEDILOL;ANTI-HIPERTENSIVOS;GERMED FARMACEUTICA LTDA
CETOPROFENO;CETOPROFENO;ANTIINFLAMATORIOS E ANTIREUMATICOS;GERMED FARMACEUTICA LTDA
HEMITARTARATO DE ZOLPIDEM;HEMITARTARATO DE ZOLPIDEM;HIPNOTICOS;NOVARTIS BIOCIENCIAS S.A
OXALATO DE ESCITALOPRAM;OXALATO DE ESCITALOPRAM;ANTIDEPRESSIVOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
ROSUVASTATINA CALCICA;ROSUVASTATINA CALCICA;ANTILIPEMICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
SIMETICONA;;;SANOFI MEDLEY FARMACEUTICA LTDA.
ANTIMAIS SEPTICO;CLORIDRATO DE LIDOCAINA MONOIDRATADA , CLORETO DE BENZETONIO;ANTISSEPTICO;KLEY HERTZ FARMACEUTICA S.A
CALOTRAT PLANTAR;;;KLEY HERTZ FARMACEUTICA S.A
GLAUCOTRAT;MALEATO DE TIMOLOL;ANTIGLAUCOMATOSOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
LENIX;CLORIDRATO DE DIFENIDRAMINA;ANTI-HISTAMINICOS PARA USO SISTEMICO;APSEN FARMACEUTICA S/A
BOSENTANA;Bosentana monoidratada;ANTI-HIPERTENSIVOS;RANBAXY FARMACEUTICA LTDA
DIOPLEX DH;DIOSMINA, HESPERIDINA;ANTIVARICOSOS DE ACAO SISTEMICA;KLEY HERTZ FARMACEUTICA S.A
ETORICOXIBE;ETORICOXIBE;ANTINFLAMATORIOS ANTIREUMATICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
LABEL;CLORIDRATO DE RANITIDINA;ANTIULCEROSOS;ACHE LABORATORIOS FARMACEUTICOS S.A
CITRATO DE FENTANILA;CITRATO DE FENTANILA;ANALGESICOS NARCOTICOS;HIPOLABOR FARMACEUTICA LTDA
DACOGEN;DECITABINA;ANTINEOPLASICOS CITOTOXICOS;JANSSEN-CILAG FARMACEUTICA LTDA
PRURI-GRAN;DICLORIDRATO DE HIDROXIZINA;ANTI-HISTAMINICOS SISTEMICOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
