NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
CETOPROFENO;CETOPROFENO;ANTIINFLAMATORIOS E ANTIREUMATICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
SORBITOL + MANITOL;SORBITOL, MANITOL;PRODUTOS PARA PROCEDIMENTOS ESPECIALIZADOS;HALEX ISTAR INDUSTRIA FARMACEUTICA SA
AGLUCOSE;ACARBOSE;ANTIDIABETICOS;EMS SIGMA PHARMA LTDA
ALLENASAL;ACETONIDA DE TRIANCINOLONA;GLICOCORTICOIDES SISTEMICOS;OPELLA HEALTHCARE BRAZIL LTDA
ALOPURINOL;ALOPURINOL;ANTIGOTOSOS;SANOFI MEDLEY FARMACEUTICA LTDA.
PROEXTY;EXEMESTANO;AGENTES ANTINEOPLASICOS;EUROFARMA LABORATORIOS S.A.
ALOE MINERAL;;;BRAVIR INDUSTRIAL LTDA
SUCCINATO DE SUMATRIPTANA;SUCCINATO DE SUMATRIPTANA;ANALGESICOS CONTRA ENXAQUECA;BIOLAB SANUS FARMACEUTICA LTDA
IBUPROTRAT CM;IBUPROFENO;ANALGESICOS NAO NARCOTICOS;NATULAB LABORATORIO S.A
MESALAZINA;MESALAZINA;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;RANBAXY FARMACEUTICA LTDA
TRIBUGESTEX;MALEATO DE TRIMEBUTINA;ANTIESPASMODICOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
ALCACHOFRA AIRELA;CYNARA SCOLYMUS L.;;AIRELA INDUSTRIA FARMACEUTICA LTDA.
COXETO;ETORICOXIBE;ANTINFLAMATORIOS ANTIREUMATICOS;GERMED FARMACEUTICA LTDA
MANITOL 20%;MANITOL;DIURETICOS SIMPLES;FRESENIUS KABI BRASIL LTDA
MESILATO DE IMATINIBE;MESILATO DE IMATINIBE;ANTINEOPLASICO;BLAU FARMACEUTICA S.A.
FURP-RIFAMPICINA;RIFAMPICINA;RIFAMPICINAS;FUNDACAO PARA O REMEDIO POPULAR - FURP
BROMETO DE IPRATROPIO;BROMETO DE IPRATROPIO;BRONCODILATADORES;LABORATORIO TEUTO BRASILEIRO S/A
FORASEQ;fumarato de formoterol diidratado, BUDESONIDA;OUTROS MEDICAMENTOS ANTIASMATICOS;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
GLICOSE;GLICOSE;NUTRIENTES PARENTERAIS;SAMTEC BIOTECNOLOGIA LIMITADA
OLEO MINERAL;;;PHARLAB INDUSTRIA FARMACEUTICA S.A.
CADYR;CLORIDRATO DE PROPAFENONA;ANTIARRITMICOS;PRATI DONADUZZI & CIA LTDA
FARMACE SOLUcaO FISIOLoGICA DE CLORETO DE SoDIO 0;;;FARMACE INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA
FERTRYX;ferrocarbonila, ACIDO FOLICO;ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS;GALLIA INDUSTRIA FARMACEUTICA LTDA
LIPTHAL;ATORVASTATINA CALCICA;ANTILIPEMICOS;LABORATORIO TEUTO BRASILEIRO S/A
BRASART;VALSARTANA;ANTI-HIPERTENSIVOS SIMPLES;EMS SIGMA PHARMA LTDA
TINTURA DE IODO 2% SEPTMAX;;;FARMAX S.A.
ZINNAT;AXETIL CEFUROXIMA;ANTINFECCIOSOS;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
NEPARVIS;SACUBITRIL VALSARTANA SODICA HIDRATADA;AGENTES QUE ATUAM NO SISTEMA RENINA-ANGIOTENSINA;NOVARTIS BIOCIENCIAS S.A
ABMETHA;acetato de abiraterona;OUTROS ANTINEOPLASICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
CERMAZ;ANASTROZOL;ANTINEOPLASICO;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
CLORIDRATO DE DEXMEDETOMIDINA;CLORIDRATO DE DEXMEDETOMIDINA;HIPNOTICOS;VOLPHARMA DISTRIBUIDORA DE PRODUTOS HOSPITALARES E FARMACEUTICO
ESC ODT;OXALATO DE ESCITALOPRAM;ANTIDEPRESSIVOS;EUROFARMA LABORATORIOS S.A.
NEOSORO INFANTIL;;;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S/A
PEDRA HUME RIOQUIMICA;;;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
ALERADINA;DESLORATADINA;ANTI-HISTAMINICOS SISTEMICOS;GERMED FARMACEUTICA LTDA
VORI INJ;VORICONAZOL;ANTIMICOTICO;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
APIXABANA;apixabana;ANTITROMBOTICO;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
NO_PRODUTO;AMESPRO FLUORNICOTINAMIDA (18 F);;VILLAS BOAS RADIOFARMACOS BRASIL S/A
OLEO MINERAL;;;LABORATORIO TAYUYNA LTDA
PALEXIS;cloridrato de tapentadol;ANALGESICOS NARCOTICOS;GRUNENTHAL DO BRASIL FARMACEUTICA LTDA.
SONOVUE;hexafluoreto de enxofre;CONTRASTES RADIOLOGICOS;BRACCO IMAGING DO BRASIL IMPORTACAO E DISTRIBUICAO DE MEDICAMEN
SUPOSITORIO DE GLICERINA GRANADO ADULTO;;;CASA GRANADO LABORATORIOS, FARMACIAS E DROGARIAS S/A
CIMEGRIPE DIA;PARACETAMOL, CLORIDRATO DE FENILEFRINA;ANALGESICOS NAO NARCOTICOS;CIMED INDUSTRIA S.A
CIPROFLOXATRIN;cloridrato de ciprofloxacino monoidratado;ANTIBIOTICOS SISTEMICOS SIMPLES;LABORATORIO GLOBO SA
ZYMPALIX;Passiflora incarnata L.;ANSIOLITICOS SIMPLES;ALTHAIA S.A. INDUSTRIA FARMACEUTICA
ALENDRONATO DE SODIO;alendronato de sodio;SUPRESSORES DA REABSORCAO OSSEA;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
CIPROBIOT;CLORIDRATO DE CIPROFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
COMPLEXO B 12;CLORIDRATO DE TIAMINA, MONONITRATO DE TIAMINA, TIAMINA, RIBOFLAVINA, fosfato sodico de riboflavina, CLORIDRATO DE PIRIDOXINA, CIANOCOBALAMINA, NICOTINAMIDA, PANTOTENATO DE CALCIO, PANTOTENATO DE CALCIO, NITRATO DE TIAMINA, CLORIDRATO DE NICOTINAMIDA, CIANOCOBALAMINA 0,1%;POLIVITAMINICOS SEM MINERAIS;EMS S/A
XALACOM;LATANOPROSTA, MALEATO DE TIMOLOL;ANTIGLAUCOMATOSOS;VIATRIS FARMACEUTICA DO BRASIL LTDA
ROHYPNOL;FLUNITRAZEPAM;HIPNOTICOS;FARMOQUIMICA S/A
ETORICOXIBE;ETORICOXIBE;ANTINFLAMATORIOS ANTIREUMATICOS;GERMED FARMACEUTICA LTDA
GINKOBA;GINKGO BILOBA L.;;ZYDUS NIKKHO FARMACEUTICA LTDA
MULTISORO ADULTO;CLORIDRATO DE NAFAZOLINA;DESCONGESTIONANTES NASAIS TOPICOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
NORFLOXACINO;NORFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;LABORATORIO GLOBO SA
PRESSEL;MALEATO DE ENALAPRIL;ANTI-HIPERTENSIVOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
ACIVIRAX;ACICLOVIR;ANTIVIROTICOS;CIFARMA CIENTIFICA FARMACEUTICA LTDA
AZITROMICINA;AZITROMICINA;ANTIBIOTICOS SISTEMICOS SIMPLES;PRATI DONADUZZI & CIA LTDA
HYTGA;TIGECICLINA;ANTIBIOTICOS SISTEMICOS SIMPLES;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA
SINTOCALMY;Passiflora incarnata L.;;ACHE LABORATORIOS FARMACEUTICOS S.A
ALPRAZOLAM;ALPRAZOLAM;ANSIOLITICOS SIMPLES;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
CANEPHRON;CENTAURIUM ERYTHRAEA RAFN, LEVISTICUM OFFICINALE W.D.J.KOCH, ROSMARINUS OFFICINALIS L.;OUTROS PRODUTOS UROLOGICOS;BIONORICA DO BRASIL DISTRIBUICAO E IMPORTACAO LTDA
METTA SR;CLORIDRATO DE METFORMINA;ANTIDIABETICOS;TORRENT DO BRASIL LTDA
SUCCINATO DE DESVENLAFAXINA MONOIDRATADO;SUCCINATO DE DESVENLAFAXINA MONOIDRATADO;ANTIDEPRESSIVOS;ACHE LABORATORIOS FARMACEUTICOS S.A
GLICOSE;GLICOSE ANIDRA;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;COPERMED COMERCIAL IMPORTADORA LTDA
NITRATO DE PRATA 5%;;;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
NOXAFIL;posaconazol;ANTIMICOTICOS SISTEMICOS;MERCK SHARP & DOHME FARMACEUTICA LTDA.
UROTROBEL;NORFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;BELFAR LTDA
CLONAZEPAM;CLONAZEPAM;ANTICONVULSIVANTES;RANBAXY FARMACEUTICA LTDA
STREPSILS;FLURBIPROFENO;ANTINFLAMATORIOS;RECKITT BENCKISER (BRASIL) LTDA
CLORIDRATO DE FEXOFENADINA;CLORIDRATO DE FEXOFENADINA;ANTI-HISTAMINICOS SISTEMICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
IMUNOTRAT PELARGONIUM;PELARGONIUM SIDOIDES DC.;PRODUTO P.TERAPIA SINTOMATICA DA GRIPE;KLEY HERTZ FARMACEUTICA S.A
POLARATUSS;MALEATO DE DEXCLORFENIRAMINA, SULFATO DE PSEUDOEFEDRINA, GUAIFENESINA;EXPECTORANTES;CIFARMA CIENTIFICA FARMACEUTICA LTDA
ROSUCOR;ROSUVASTATINA CALCICA;ANTILIPEMICOS;TORRENT DO BRASIL LTDA
CITRATO DE TAMOXIFENO;CITRATO DE TAMOXIFENO;ANTINEOPLASICO;GERMED FARMACEUTICA LTDA
BENEROC;MONONITRATO DE TIAMINA, RIBOFLAVINA, NICOTINAMIDA, CLORIDRATO DE PIRIDOXINA, PANTOTENATO DE CALCIO;POLIVITAMINICOS SEM MINERAIS;BAYER S.A.
BUSCOFEM GIRLS;IBUPROFENO;ANALGESICOS NAO NARCOTICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
ECTEVO;PANTOPRAZOL SODICO SESQUI-HIDRATADO;ANTIACIDOS E ANTIULCEROSOS SIMPLES;PRATI DONADUZZI & CIA LTDA
GLICERINA 12%;GLICERINA;ENEMAS;HALEX ISTAR INDUSTRIA FARMACEUTICA SA
ANDRUM;CLORIDRATO DE DORZOLAMIDA;ANTIGLAUCOMATOSOS;ACHE LABORATORIOS FARMACEUTICOS S.A
EFLUELDA;Cepa influenza tipo A (H1N1), Cepa influenza tipo A (H3N2), CEPA INFLUENZA TIPO B, Cepa influenza tipo B;VACINAS;SANOFI MEDLEY FARMACEUTICA LTDA.
ATORVASTATINA CALCICA;ATORVASTATINA CALCICA;ANTILIPEMICOS;FUNDACAO PARA O REMEDIO POPULAR - FURP
MICOFENOLATO DE MOFETILA;micofenolato de mofetila;IMUNOSUPRESSOR;ACCORD FARMACEUTICA LTDA
SEPTSORO INFANTIL;;;FBM INDUSTRIA FARMACEUTICA LTDA
THEOLATE SOBRAL;;;THEODORO F SOBRAL & CIA LTDA
BETAMETASONA + MALEATO DE DEXCLORFENIRAMINA;BETAMETASONA, MALEATO DE DEXCLORFENIRAMINA;ANTI-HISTAMINICOS SISTEMICOS;EUROFARMA LABORATORIOS S.A.
CLORIDRATO DE AMBROXOL;CLORIDRATO DE AMBROXOL;EXPECTORANTES BALSAMICOS E MUCOLITICO;1FARMA INDUSTRIA FARMACEUTICA LTDA
MIRTAZAPINA;MIRTAZAPINA;ANTIDEPRESSIVOS;TORRENT DO BRASIL LTDA
NALBLI;CLORIDRATO DE NALBUFINA;ANALGESICOS NARCOTICOS;HALEX ISTAR INDUSTRIA FARMACEUTICA SA
TINTURA DE IODO 2 % HEMAFARMA;;;HEMAFARMA COM. E IND. FARM. LTDA
CITOPLATINA;CARBOPLATINA;ANTINEOPLASICO;CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA
OMEPRAZOL SODICO;OMEPRAZOL SODICO;ANTIULCEROSOS;BLAU FARMACEUTICA S.A.
VALSACOR DUO;VALSARTANA, BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
FURP-ISONIAZIDA;ISONIAZIDA;TUBERCULOSTATICOS;FUNDACAO PARA O REMEDIO POPULAR - FURP
MALEATO DE BRONFENIRAMINA + CLORIDRATO DE FENILEFRINA;MALEATO DE BRONFENIRAMINA, CLORIDRATO DE FENILEFRINA;DESCONGESTIONANTES E ANTIALARGICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
TINIDAZOL + NITRATO DE MICONAZOL;NITRATO DE MICONAZOL, TINIDAZOL;PRODS GINECOLOGICOS ANTINFECC TOPICOS ASSOC MEDICAMENTOSAS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
DEMEDROX;ACETATO DE MEDROXIPROGESTERONA;PROGESTAGENOS SIMPLES;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
FLUCOMED;FLUCONAZOL;ANTIMICOTICO;CIMED INDUSTRIA S.A
KURAMED;;;CIMED INDUSTRIA S.A
NUJOL - PETROLATO LIQUIDO;;;MANTECORP INDUSTRIA QUIMICA E FARMACEUTICA S.A.
MEL ROSADO LAPON;;;LAPON INDUSTRIA FARMACEUTICA LTDA - EPP
METILDOPA;METILDOPA;ANTI-HIPERTENSIVOS SIMPLES;FUNDACAO PARA O REMEDIO POPULAR - FURP
SINCRO;CLORIDRATO DE PAROXETINA;ANTIDEPRESSIVOS;EUROFARMA LABORATORIOS S.A.
TESTE VENCIMENTO;AGUA;;EMPRESA DE TESTE LTDA. (VS01)
VONAU SOLUCAO ORAL;CLORIDRATO DE ONDANSETRONA DI-hIDRATADO;ANTIEMETICOS E ANTINAUSEANTES;BIOLAB SANUS FARMACEUTICA LTDA
DIUREZIN;HIDROCLOROTIAZIDA, AMILORIDA, CAPTOPRIL, MALEATO DE ENALAPRIL;DIURETICOS SIMPLES;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA
DUODEX;cloridrato de ciprofloxacino monoidratado, DEXAMETASONA;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO;GEOLAB INDUSTRIA FARMACEUTICA S/A
WONILIN;BENZILPENICILINA PROCAINA, BENZILPENICILINA POTASSICA;PENICILINA G E DERIVADOS (BENZILPENICILINAS);NEWCOM FARMACEUTICA LTDA.
DENSURKO;DEPEMOQUIMABE;;GLAXOSMITHKLINE BRASIL LTDA
BIO HIGIENIC ASSEPTIC;;;PHYTOLAB INDUSTRIA FARMACEUTICA LTDA - EPP
DICLORIDRATO DE BETAISTINA;BETAISTINA;ANTIVERTIGINOSOS;ACHE LABORATORIOS FARMACEUTICOS S.A
MYRTZ ODT;MIRTAZAPINA;ANTIDEPRESSIVOS;LABORATORIO TEUTO BRASILEIRO S/A
BENZAC AC 2,5;;;GALDERMA BRASIL LTDA
ISOFARMA-SOLUCAO DE CLORETO DE POTASSIO;CLORETO DE POTASSIO;REIDRATANTES PARENTERAIS;HALEX ISTAR INDUSTRIA FARMACEUTICA SA
REPAGLINIDA;REPAGLINIDA;ANTIDIABETICOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
SINUSTRAT BEBE;;;BIOLAB SANUS FARMACEUTICA LTDA.
UROHIPE;Mycobacterium bovis;IMUNOESTIMULANTES, EXCLUSIVE VACINAS E IMUNOGLOBULINAS;UNO HEALTHCARE COMERCIO DE MEDICAMENTOS LTDA.
ESTRIONIL;ESTRIOL;HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS;HIPOLABOR FARMACEUTICA LTDA
SECNIDAZOL;SECNIDAZOL;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;GERMED FARMACEUTICA LTDA
TRAVOPROSTA;TRAVOPROSTA;ANTIGLAUCOMATOSOS;GERMED FARMACEUTICA LTDA
AMGEVITA;ADALIMUMABE;ANTINFLAMATORIOS ANTIREUMATICOS;AMGEN BIOTECNOLOGIA DO BRASIL LTDA.
AVAMYS;FUROATO DE FLUTICASONA;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;GLAXOSMITHKLINE BRASIL LTDA
FIGATIL;CYNARA SCOLYMUS L., PEUMUS BOLDUS MOLINA;;LABORATORIO CATARINENSE LTDA
FUMARATO DE TENOFOVIR DESOPROXILA;FUMARATO DE TENOFOVIR DESOPROXILA;ANTIRETROVIRAL;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
GLIBENCLAMIDA;GLIBENCLAMIDA;ANTIDIABETICOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
LAMEZ;LAMOTRIGINA;ANTICONVULSIVANTES;ACCORD FARMACEUTICA LTDA
MESTINON;BROMETO DE PIRIDOSTIGMINA;ANTIMIASTENICOS E DESCURARIZANTES;CELLERA FARMACEUTICA S.A.
TENOLON;ATENOLOL;ANTI-HIPERTENSIVOS;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
NORFLOXACINO;NORFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;1FARMA INDUSTRIA FARMACEUTICA LTDA
ACICLOVIR;ACICLOVIR;ANTIVIROTICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
EZETIMIBA + SINVASTATINA;EZETIMIBA, SINVASTATINA;ANTILIPEMICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
GYNOTRAN;METRONIDAZOL, NITRATO DE MICONAZOL;PRODUTOS GINECOLOGICOS ANTIINFECCIOSOS TOPICOS ASSOCIACAO MEDICAMENTOSA;EXELTIS LABORATORIO FARMACEUTICO LTDA
BICARBONATO DE SODIO BEM BASICO;;;FARMAX S.A.
ADIPEPT;PANTOPRAZOL SODICO SESQUI-HIDRATADO;ANTIACIDOS E ANTIULCEROSOS;ACHE LABORATORIOS FARMACEUTICOS S.A
NEOSSORO SSC;;;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
CLORIDRATO DE AMBROXOL;CLORIDRATO DE AMBROXOL;EXPECTORANTES;PRATI DONADUZZI & CIA LTDA
MYOBLOQ;SUGAMADEX SODICO;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;APSEN FARMACEUTICA S/A
TRINIZOL-M;TINIDAZOL, NITRATO DE MICONAZOL;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;BELFAR LTDA
AGUA OXIGENADA 10 V DAUF/NEEDS;;;LABORATORIO PERNAMBUCANO LTDA.
FLUXON;CINARIZINA;VASODILATADORES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
NEEDS - CLORETO DE SODIO 0,9%;;;HERBARIUM LABORATORIO BOTANICO LTDA
ALCOOL ETILICO 70% GEL ANTISSEPTICO;;;RIOQUIMICA S.A.
BREZTRI AEROSPHERE;BUDESONIDA, BROMETO DE GLICOPIRRANIO, fumarato de formoterol di-hidratado;ADRENARGICOS E OUTROS AGENTES PARA DOENCA OBSTRUTIVA DAS VIAS AEREAS;ASTRAZENECA DO BRASIL LTDA
KOPLAN;TEICOPLANINA;ANTIBIOTICOS SISTEMICOS SIMPLES;FRESENIUS KABI BRASIL LTDA
LEVOZINE;CLORIDRATO DE LEVOMEPROMAZINA;NEUROLEPTICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
PRASILENCE;Passiflora incarnata L.;ANSIOLITICOS SIMPLES;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
ANTISSEPTICO ONEFARMA / KURAMED SEPT/ NEEDS / LIMP SEPT;;;CIMED INDUSTRIA S.A
BROMETO DE IPRATROPIO;BROMETO DE IPRATROPIO;BRONCODILATADORES;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
UNI CEFALEXIN;CEFALEXINA MONOIDRATADA;CEFALOSPORINAS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
ESTOMAZIL;HIDROXIDO DE MAGNESIO, CARBONATO DE CALCIO, HIDROXIDO DE ALUMINIO;ANTIACIDO;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
MISACOR HCT;TELMISARTANA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
DICLOFENACO SODICO;DICLOFENACO SODICO;ANTINFLAMATORIOS;EMS S/A
DIPIRONA MONOIDRATADA;DIPIRONA;ANALGESICOS NAO NARCOTICOS;EMS S/A
GAMMAR;ACIDO GAMAMINOBUTIRICO;NEUROPSICOESTIMULANTES;ZYDUS NIKKHO FARMACEUTICA LTDA
HEPAMAX-S;HEPARINA SODICA SUINA;ANTICOAGULANTES;BLAU FARMACEUTICA S.A.
INDOCID;INDOMETACINA;ANTINFLAMATORIOS ANTIREUMATICOS;ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA
ANDHORA;CLORIDRATO DE TRAZODONA;;ZYDUS NIKKHO FARMACEUTICA LTDA
CLEANKINOL;HIDROQUINONA;DESMELANIZANTES;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
IBANDRONATO DE SODIO;ibandronato de sodio;SUPRESSORES DA REABSORCAO OSSEA;BIOLAB SANUS FARMACEUTICA LTDA
ONDIF;ONDANSETRONA;ANTIEMETICOS E ANTINAUSEANTES;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
PACLITAXEL;PACLITAXEL;ANTINEOPLASICO;BLAU FARMACEUTICA S.A.
TOPIRAMATO;TOPIRAMATO;ANTICONVULSIVANTES;LABORATORIO TEUTO BRASILEIRO S/A
ROTARIX;ROTAVIRUS HUMANO ATENUADO;VACINAS;GLAXOSMITHKLINE BRASIL LTDA
TOARIP;ARIPIPRAZOL;ANTIPSICOTICOS;TORRENT DO BRASIL LTDA
RESPLIX;HEDERA HELIX L.;FITOTERAPICO SIMPLES;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.
FOSAMAX D;alendronato de sodio, COLECALCIFEROL;SUPRESSORES DA REABSORCAO OSSEA;ORGANON FARMACEUTICA LTDA.
FUNED INSULINA R;INSULINA HUMANA;ANTIDIABETICOS;FUNDACAO EZEQUIEL DIAS - FUNED
PROMENSIL;TRIFOLIUM PRATENSE L.;COADJUVANTE NO TRATAMENTO DO CLIMATERIO;FARMOQUIMICA S/A
VASELINA SOLIDA 100%;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
ACIDO ZOLEDRONICO;acido zoledronico monoidratado;ANTINEOPLASICO;SUN FARMACEUTICA DO BRASIL LTDA
BOSAYA;denosumabe;OUTROS PRODUTOS COM ACAO NO SISTEMA MUSCULO ESQUELETICO;BIOCON BIOLOGICS DO BRASIL LTDA
DESAIRON;DEFERASIROX;AGENTE QUELANTE DE FERRO;EMS S/A
JUGLINT;DAPAGLIFLOZINA PROPANODIOL MONOIDRATADO;ANTIDIABETICOS;EMS S/A
POMADA SANTEA;;;LABORATORIO FARMACEUTICO DO RECIFE LTDA
CLORIDRATO DE DOBUTAMINA;CLORIDRATO DE DOBUTAMINA;MEDICAMENTOS C/ ACAO NO MIOCARDIO;NEWCOM FARMACEUTICA LTDA.
GRIPALCEFITO;HEDERA HELIX L.;EXPECTORANTES;BRASTERAPICA PHARMACEUTICA LTDA.
BICARBONATO DE SODIO EVER CARE;;;FARMAX S.A.
CLORETO DE SODIO;CLORETO DE SODIO;SOLUCOES ISOSMOTICAS SALINAS SIMPLES;BEKER PRODUTOS FARMACO HOSPITALARES LTDA
DAPAGLIFLOZINA PROPANODIOL;DAPAGLIFLOZINA PROPANODIOL MONOIDRATADO;ANTIDIABETICOS;CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA
VACINA PNEUMOCACICA 10-VALENTE (CONJUGADA);STREPTOCOCCUS PNEUMONIAE;VACINAS;FUNDACAO OSWALDO CRUZ
WINDUZA;AZACITIDINA;ANTINEOPLASICO;DR. REDDYS FARMACEUTICA DO BRASIL LTDA
DIPIRONA SODICA;DIPIRONA;ANALGESICOS NAO NARCOTICOS;GERMED FARMACEUTICA LTDA
GELOL;SALICILATO DE METILA, CANFORA, MENTOL, LEVOMENTOL, BORNEOL, TIMOL;RUBEFACIENTES;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
MIXISTAR;CLORETO DE POTASSIO, CLORETO DE SODIO, GLICOSE;REIDRATANTES PARENTERAIS;HALEX ISTAR INDUSTRIA FARMACEUTICA SA
SULPAN;BROMAZEPAM, SULPIRIDA;ANSIOLITICOS-ASSOCIACOES MEDICAMENTOSAS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
DIATARCOM MR;GLICLAZIDA;ANTIDIABETICOS;LABORATORIOS SERVIER DO BRASIL LTDA
FAULDLEUCO;FOLINATO DE CALCIO;ANTIMETABOLICOS ANTAGONISTAS DO ACIDO FOLICO;LIBBS FARMACEUTICA LTDA
IBUPROFENO;IBUPROFENO;ANTINFLAMATORIOS ANTIREUMATICOS;ALTHAIA S.A. INDUSTRIA FARMACEUTICA
QUTENZA;CAPSAICINA;ANESTESICOS LOCAIS;GRUNENTHAL DO BRASIL FARMACEUTICA LTDA.
CALTREN;NITRENDIPINO;ANTIANGINOSOS E VASODILATADORES;LIBBS FARMACEUTICA LTDA
FENAZIC;bromidrato de darifenacina;OUTROS PRODUTOS COM ACAO NO TRATO URINARIO;ADIUM S.A.
GLINAPE;linagliptina;ANTIDIABETICOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
CEFTAFOR;CEFTAZIDIMA PENTAIDRATADA;ANTIBIOTICOS SISTEMICOS SIMPLES;NEWCOM FARMACEUTICA LTDA.
ESCABIN PRO;;;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
NICE;CLORETO DE SODIO;DILUENTES E VEICULOS DE MEDICAMENTOS;LABORATORIO DE EXTRATOS ALERGENICOS LTDA
NITROFEN;NITROFURANTOINA;NITROFURANICOS;LABORATORIO TEUTO BRASILEIRO S/A
FASTFEN;CITRATO DE SUFENTANILA;ANALGESICOS NARCOTICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
SONRISAL;ACIDO ACETILSALICILICO, ACIDO ACETILSALICILICO, BICARBONATO DE SODIO, ACIDO CITRICO, CARBONATO DE SODIO;ANTIACIDO;PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE ME
ARPIO;ARIPIPRAZOL;ANTIPSICOTICOS;GERMED FARMACEUTICA LTDA
TOPIRAMATO;TOPIRAMATO;ANTICONVULSIVANTES;GERMED FARMACEUTICA LTDA
